"그룹회사코드","마이데이터고객식별자","포트폴리오조회수","포트폴리오관심수","포트폴리오댓글수","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000000",80,0,4,"2021-08-19 18:21:39",SYSTEM
KB0,"2000000001",39,1,19,"20211018134127670007",SYSTEM
KB0,"2000000002",64,0,39,"2021-09-30 16:54:42",SYSTEM
KB0,"2000000003",47,1,10,"20211018094055292340",SYSTEM
KB0,"2000000004",16,1,7,"2021-09-27 10:49:10",SYSTEM
KB0,"2000000005",32,0,9,"20211018142502859624",SYSTEM
KB0,"2000000006",143,0,14,"20211018112618339552",SYSTEM
KB0,"2000000007",14,0,11,"2021-09-10 11:09:14",SYSTEM
KB0,"2000000008",1,1,0,"2021-09-27 10:49:57",SYSTEM
KB0,"2000000010",1,0,0,"2021-08-20 15:32:53",SYSTEM
KB0,"2000000026",4,0,1,"2021-08-20 15:34:17",SYSTEM
KB0,"2000000068",0,0,0,"2021-08-19 18:27:58",SYSTEM
KB0,"2000000105",46,0,1,"2021-08-18 11:26:53",SYSTEM
KB0,"2000000180",592,0,8,"2021-09-27 16:06:20",SYSTEM
KB0,"2000000184",0,0,1,"2021-08-05 17:03:26",SYSTEM
KB0,"2000000215",3,0,0,"2021-09-02 14:16:52",SYSTEM
KB0,"2000000305",45,0,3,"2021-08-12 18:38:23",SYSTEM
KB0,"2000000342",51,1,2,"2021-09-27 11:05:06",SYSTEM
KB0,"2000000368",10,0,2,"2021-08-18 15:13:48",SYSTEM
KB0,"2000000378",4,0,0,"2021-09-27 16:24:51",SYSTEM
KB0,"2000000388",11,1,0,"2021-09-27 16:24:19",SYSTEM
KB0,"2000000518",32,3,1,"2021-10-07 17:05:36",SYSTEM
KB0,"2000000553",7,0,14,"2021-08-06 08:48:48",SYSTEM
KB0,"2000000563",139,1,18,"2021-10-07 17:58:18",SYSTEM
KB0,"2000000653",28,0,0,"2021-09-27 16:21:00",SYSTEM
KB0,"2000000775",1,1,0,"2021-08-31 15:45:23",SYSTEM
KB0,"2000000805",0,0,14,"2021-08-06 08:48:48",SYSTEM
KB0,"2000000826",2,0,2,"2021-08-26 19:42:45",SYSTEM
KB0,"2000000902",12,1,0,"2021-09-24 17:02:43",SYSTEM
KB0,"2000000917",222,2,13,"2021-10-08 15:12:22",SYSTEM
KB0,"2000000996",1,0,4,"2021-08-06 16:39:00",SYSTEM
KB0,"2000001002",7,0,0,"2021-09-15 12:11:42",SYSTEM
KB0,"2000001014",1,0,4,"2021-08-26 19:28:18",SYSTEM
KB0,"2000001057",10,0,3,"2021-08-18 15:10:32",SYSTEM
KB0,"2000001110",1,0,2,"2021-10-01 17:00:07",SYSTEM
KB0,"2000001241",0,0,3,"2021-08-26 19:58:10",SYSTEM
KB0,"2000001275",17,1,2,"2021-09-16 17:11:01",SYSTEM
KB0,"2000001385",124,1,9,"2021-09-27 10:30:32",SYSTEM
KB0,"2000001497",2,0,1,"2021-08-12 16:15:20",SYSTEM
KB0,"2000001502",10,5,1,"2021-08-10 10:51:35",SYSTEM
KB0,"2000001545",135,1,3,"2021-09-27 11:25:35",SYSTEM
KB0,"2000001585",38,1,1,"2021-09-27 10:41:05",SYSTEM
KB0,"2000001608",46,1,4,"2021-09-27 16:21:27",SYSTEM
KB0,"2000001712",564,2,2,"2021-09-27 16:28:37",SYSTEM
KB0,"2000001753",13,0,4,"2021-08-10 09:33:54",SYSTEM
KB0,"2000001844",0,0,1,"2021-08-05 17:02:46",SYSTEM
